keep,Explanation,id,message_id,timestamp,text,social_media_url,social_media_secondary_url,mc_predicted_category,oc_predicted_category,pc_predicted_category,predicted_category,mc_confidence,oc_confidence,pc_confidence,confidence,text_hash,author,source,social_media_tag,social_media_user,mc_probabilities,oc_probabilities,pc_probabilities,probabilities,oracle_score,oracle_result,summary,distributed_at,telegram_message_id,processed_at,created_at
X,"This is an advertisement for the general OKX exchange to try and pull users away from other exchanges, and does not highlight a specific, limited time opportunity for yield farming. This is instead a standard earn rate, which is offerend continuously (or at least for the forseeable future), and is not time-sensitive.",390,,2026-01-30T01:31:12.887000+00:00,Money should work as hard as you do. Earn 5% APY on USDG on OKX. The New Money App Posted,https://x.com/okx/status/2017047887432069470,,yield_farming,yield_farming,yield_farming,yield_farming,0.6584174037,0.9845722914,0.9219210744,0.9219210744,039d36989895144bbf190fd5004cc0dc34b2f15982a16a47b4b2fdad46d9256f,OKX,discord,Posted,,"{""filter_out"": 0.34158244729042053, ""high_value"": 1.1476076622329856e-07, ""yield_farming"": 0.6584174036979675}","{""filter_out"": 0.01542450301349163, ""high_value"": 3.1383983696287032e-06, ""yield_farming"": 0.9845722913742065}","{""filter_out"": 0.07807810604572296, ""high_value"": 7.909384862614388e-07, ""yield_farming"": 0.9219210743904114}","{""filter_out"": 0.07807810604572296, ""high_value"": 7.909384862614388e-07, ""yield_farming"": 0.9219210743904114}",,,,,,2026-02-10 17:44:24,2026-02-11 1:44:25
1,,347,,2026-01-29T03:49:19.895000+00:00,"I ve found one of the BEST risk adjusted returns for your idle tETH The new pendle fi tETH pool is currently offering 4.17% APY, a massive step up from the 2.93% native rate. Why miss out on this opportunity to earn more on your idle assets Pay attention... Squirrels. Reposted squirrelbbg",https://x.com/TreehouseFi/status/2016720201459650568,https://x.com/squirrelbbg/status/2016710292898791581,yield_farming,yield_farming,yield_farming,yield_farming,0.9504109025,0.957277596,0.9343950152,0.9343950152,e2c939a569b914710ad3a3cef82627638f1a34a94fe5291ebeae38548ba2d42b,Treehouse,discord,Reposted,@squirrelbbg,"{""filter_out"": 0.049589019268751144, ""high_value"": 1.290119513441823e-07, ""yield_farming"": 0.9504109025001526}","{""filter_out"": 0.042722187936306, ""high_value"": 2.2805890864674438e-07, ""yield_farming"": 0.9572775959968567}","{""filter_out"": 0.06560482829809189, ""high_value"": 9.5742265671106e-08, ""yield_farming"": 0.9343950152397156}","{""filter_out"": 0.06560482829809189, ""high_value"": 9.5742265671106e-08, ""yield_farming"": 0.9343950152397156}",,,,,,2026-02-10 17:43:25,2026-02-11 1:43:26
A,,466,,2026-01-31T12:01:55.720000+00:00,"Phase XIV of USDD 2.0 Supply Mining is now LIVE on JustLend DAO Start time Jan 31, 2026, 20 00 SGT Period Jan 31 Feb 28, 2026 APY around 6%, with rewards distributed as 5% in $USDD and 1% in $TRX, adjusted dynamically based on market conditions. Rewards are calculated on total supplied USDD and distributed weekly. Posted",https://x.com/DeFi_JUST/status/2017569013531025840,,yield_farming,yield_farming,yield_farming,yield_farming,0.9994481206,0.9998499155,0.9390246868,0.9390246868,5c632456323776f8ce58314a77f9df1711fe4ad958f9a74b0a7617a93e9e03be,JUST DAO,discord,Posted,,"{""filter_out"": 0.0005484774010255933, ""high_value"": 3.2869450024008984e-06, ""yield_farming"": 0.9994481205940247}","{""filter_out"": 0.0001494208408985287, ""high_value"": 5.895536219213682e-07, ""yield_farming"": 0.9998499155044556}","{""filter_out"": 0.060975175350904465, ""high_value"": 1.1974354663379927e-07, ""yield_farming"": 0.9390246868133545}","{""filter_out"": 0.060975175350904465, ""high_value"": 1.1974354663379927e-07, ""yield_farming"": 0.9390246868133545}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14
X,"This post is a thread on the Fluid platform offerings, and is not in relation to any time-sensitive or even any specific, special liquidity farming initiatives. This does not fit the criteria we are looking for. There is nothing to specifically farm here in this example.",651,1473377639837335749,2026-02-17T17:56:43.370000+00:00,"Your money works smarter on Fluid. This is what you can do Earning on stables and others Supply USDC, USDT & more to earn yield Borrowing smarter Higher LTVs up to 95% and Ultra low liquidation penalties as low as 0.1% best place for borrowers Trading Posted",https://x.com/0xfluid/status/2023818893597569532,,yield_farming,yield_farming,yield_farming,yield_farming,0.9686047435,0.7250497341,0.9861043096,0.9861043096,50c37b9e8f189a53f437229a9db4f4efe2f745079c7e3aa63188b1c793d37122,Fluid 🌊,discord,Posted,,"{""filter_out"": 0.031395018100738525, ""high_value"": 2.463635553340282e-07, ""yield_farming"": 0.9686047434806824}","{""filter_out"": 0.27494877576828003, ""high_value"": 1.498257006460335e-06, ""yield_farming"": 0.7250497341156006}","{""filter_out"": 0.013895712792873383, ""high_value"": 4.075781490087138e-08, ""yield_farming"": 0.9861043095588684}","{""filter_out"": 0.013895712792873383, ""high_value"": 4.075781490087138e-08, ""yield_farming"": 0.9861043095588684}",,,"Fluid allows earning yield on stablecoins like USDC, USDT, borrowing up to 95% LTV with 0.1% penalties.",2026-02-17 9:56:59,,2026-02-17 9:56:58,2026-02-17 17:56:58
X,"This is an informational post on yield earning. It does NOT include a time-sensitive or specific liquidity farming opportunity, but instead is purely informational for users and thus should not qualify for this category.",455,,2026-01-31T00:00:02.337000+00:00,See how subscribing BNB to Simple Earn in 2025 helped users earn more than just holding BNB in Spot thanks to various airdrops and rewards. Put your BNB to work and unlock extra rewards Posted,https://x.com/binance/status/2017387350180168078,,yield_farming,yield_farming,yield_farming,yield_farming,0.8596636057,0.9914184809,0.9890973568,0.9890973568,7da9c9a6289e485172675defc4f8a70799359e27a5bca246bc160ec0a6ed07e5,Binance,discord,Posted,,"{""filter_out"": 0.14033623039722443, ""high_value"": 6.444432898433661e-08, ""yield_farming"": 0.8596636056900024}","{""filter_out"": 0.008577450178563595, ""high_value"": 4.057804289914202e-06, ""yield_farming"": 0.9914184808731079}","{""filter_out"": 0.01090237032622099, ""high_value"": 2.2136286759177892e-07, ""yield_farming"": 0.9890973567962646}","{""filter_out"": 0.01090237032622099, ""high_value"": 2.2136286759177892e-07, ""yield_farming"": 0.9890973567962646}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14
X,"This is an informational post about a protocol reaching a total locked value milestone, and there is no earning opportunity or new liquidity pool for users to farm. This does not qualify for the yield farming category.",333,,2026-01-28T19:23:20.243000+00:00,"The USD1 High Yield Vault, curated by SteakhouseFi, has surpassed $10M USD1 in total deposits. Capital is allocated in the Main Market, distributing USD1 to the highest risk adjusted yield on Solana, as well as yielding weekly USD1 and KMNO rewards. Posted",https://x.com/kamino/status/2016592865057779724,,yield_farming,yield_farming,yield_farming,yield_farming,0.8446189165,0.9838852882,0.9935624599,0.9935624599,2d060047ecec88cc9c760b5f19a83360c0a7b2e9992596c3024597abc9c13ac7,Kamino,discord,Posted,,"{""filter_out"": 0.15502293407917023, ""high_value"": 0.000358172896085307, ""yield_farming"": 0.8446189165115356}","{""filter_out"": 0.015656471252441406, ""high_value"": 0.00045823841355741024, ""yield_farming"": 0.9838852882385254}","{""filter_out"": 0.006388004403561354, ""high_value"": 4.954107862431556e-05, ""yield_farming"": 0.9935624599456787}","{""filter_out"": 0.006388004403561354, ""high_value"": 4.954107862431556e-05, ""yield_farming"": 0.9935624599456787}",,,,,,2026-02-10 17:43:25,2026-02-11 1:43:26
1,,626,1472987674062229586,2026-02-16T16:07:08.284000+00:00,Week 2 rewards for the WBTC Market Supply Mining Activity are now live. Supply $WBTC on JustLendDAO and earn weekly $TRX rewards on top of your supply interest. How to claim Claim now Posted,https://x.com/DeFi_JUST/status/2023428910504202276,,yield_farming,yield_farming,yield_farming,yield_farming,0.7212026715,0.9582151175,0.9951918125,0.9951918125,2a734d9a87fe805c0e4aa8af87107efc6e669d4aa06623a68358ab3a3618db3c,JUST DAO,discord,Posted,,"{""filter_out"": 0.2787656784057617, ""high_value"": 3.159595507895574e-05, ""yield_farming"": 0.7212026715278625}","{""filter_out"": 0.041670963168144226, ""high_value"": 0.00011391516454750672, ""yield_farming"": 0.9582151174545288}","{""filter_out"": 0.004774264991283417, ""high_value"": 3.388876575627364e-05, ""yield_farming"": 0.9951918125152588}","{""filter_out"": 0.004774264991283417, ""high_value"": 3.388876575627364e-05, ""yield_farming"": 0.9951918125152588}",,,Week 2 WBTC Supply Mining rewards now live on JustLendDAO with weekly TRX rewards,2026-02-16 8:07:25,,2026-02-16 8:07:25,2026-02-16 16:07:25
X,"This is not a limited time farming opportunity; this is an advertisement for an exchange's ongoing staking rate. This is not a time-sensitive, limited time promotion, and there is no clear benefit to being an early participant in this yield farming opportunity. Thus this does not qualify for the yield farming category.",41,,2026-01-22T16:00:37.700000+00:00,"Simple Math for $SOL holders BitMart 7.50% APY Top CEXs 5.00% APY Why earn HALF the rewards for the same asset Stake smarter, not harder. Solana Staking CryptoNews Posted",https://x.com/BitMartExchange/status/2014367590768934923,,yield_farming,yield_farming,yield_farming,yield_farming,0.9976032376,0.9980580211,0.9970190525,0.9970190525,050052c99087b876a1ea7eda23c00862826d645d16b81734612db4971832c292,BitMart,discord,Posted,,"{""filter_out"": 0.002396730938926339, ""high_value"": 8.656982686261472e-09, ""yield_farming"": 0.9976032376289368}","{""filter_out"": 0.0019418166484683752, ""high_value"": 1.5351864135482174e-07, ""yield_farming"": 0.998058021068573}","{""filter_out"": 0.0029810331761837006, ""high_value"": 3.606653864451914e-09, ""yield_farming"": 0.9970190525054932}","{""filter_out"": 0.0029810331761837006, ""high_value"": 3.606653864451914e-09, ""yield_farming"": 0.9970190525054932}",,,,,,2026-02-10 17:38:31,2026-02-11 1:38:32
A,,581,1471877947072839682,2026-02-13T14:37:28.752000+00:00,Join the $U Carnival with Lista. Collateralize USDC USDT LP on Lista to earn on both sides LP yield 350K rewards pool. Collateralize USDC USDT LP 0.1% Borrow $U 2.7% Deposit U into Lista Vault 0n BinanceWallet 14% Join Posted,https://x.com/lista_dao/status/2022319132360794265,,yield_farming,yield_farming,yield_farming,yield_farming,0.8575650454,0.900079608,0.997382462,0.997382462,f9d971ea683129a629e6e5c35420e61a8c87107d615889f5072beea1a616e507,Lista DAO,discord,Posted,,"{""filter_out"": 0.14243434369564056, ""high_value"": 6.545790824930009e-07, ""yield_farming"": 0.8575650453567505}","{""filter_out"": 0.09991984814405441, ""high_value"": 5.867892127753294e-07, ""yield_farming"": 0.900079607963562}","{""filter_out"": 0.002617559162899852, ""high_value"": 2.0066599049073375e-08, ""yield_farming"": 0.9973824620246887}","{""filter_out"": 0.002617559162899852, ""high_value"": 2.0066599049073375e-08, ""yield_farming"": 0.9973824620246887}",,,"Collateralize USDC USDT LP on Lista for 0.1% borrowing, 2.7% $U borrow yield, 350K rewards pool.",2026-02-13 6:37:48,,2026-02-13 6:37:47,2026-02-13 14:37:47
X,"While this is close to being valuable, there isn't enough information here to determine if the staking mechanism will be boosted for new depositors, as this is a recap post of earnings from the previous round of participants. For this reason, it is not appropriate for the yield farming category.",58,,2026-01-22T20:27:41.326000+00:00,First AuraFinance vlAURA delegation rewards distributed. Early delegators who joined before Jan 14 earned over 100% APR on this round thanks to Votemarket campaigns. Rewards are distributed every Thursday. Delegate now to join the next round Reposted StakeDAOHQ,https://x.com/Balancer/status/2014434784529838587,https://x.com/StakeDAOHQ/status/2014431966494343183,yield_farming,yield_farming,yield_farming,yield_farming,0.995991528,0.9850286245,0.9977127314,0.9977127314,cbae48afdb70e2197980714a77245ea58eab32f22c8b7afcd9ee943ac3825544,Balancer,discord,Reposted,@StakeDAOHQ,"{""filter_out"": 0.004007284063845873, ""high_value"": 1.1320090607114253e-06, ""yield_farming"": 0.9959915280342102}","{""filter_out"": 0.014956869184970856, ""high_value"": 1.4518533134832978e-05, ""yield_farming"": 0.9850286245346069}","{""filter_out"": 0.002287227427586913, ""high_value"": 3.645125801199356e-08, ""yield_farming"": 0.9977127313613892}","{""filter_out"": 0.002287227427586913, ""high_value"": 3.645125801199356e-08, ""yield_farming"": 0.9977127313613892}",,,,,,2026-02-10 17:38:31,2026-02-11 1:38:32
A,,178,,2026-01-26T17:00:12.031000+00:00,"Stake Basket bonuses are back Here s how you can boost your rewards Purchase any Stake Basket by Feb 26 HODL until Mar 28, Get an extra 10% p.a. in $CRO that s up to 22% p.a. in total rewards Start now Posted",https://x.com/cryptocom/status/2015832108371976365,,yield_farming,yield_farming,yield_farming,yield_farming,0.9997730851,0.9999662638,0.9981030226,0.9981030226,541a96307e76b05ab2f5deb0b31eed05014cc5df71cada2373d9877d0c722be1,Crypto.com,discord,Posted,,"{""filter_out"": 0.00022693387290928513, ""high_value"": 9.144238144465078e-10, ""yield_farming"": 0.9997730851173401}","{""filter_out"": 3.373722574906424e-05, ""high_value"": 9.530356059883616e-09, ""yield_farming"": 0.9999662637710571}","{""filter_out"": 0.0018969199154525995, ""high_value"": 9.717731064284862e-10, ""yield_farming"": 0.9981030225753784}","{""filter_out"": 0.0018969199154525995, ""high_value"": 9.717731064284862e-10, ""yield_farming"": 0.9981030225753784}",,,,,,2026-02-10 17:41:26,2026-02-11 1:41:28
X,"This is about a previous event ending (and distribution from that event to users), so this is not a new opportunity that can be taken advantage of by yield farmers, and thus shouldn't be included. Since this isn't forward looking, and is instead solely about an already passed opportunity, there is no opportunity here for a farmer to take advantage of.",342,,2026-01-29T01:32:28.343000+00:00,"veLISTA Weekly Benefits are here The 80th week of $veLISTA rewards has been distributed 479.9K LISTA, up to 55.77% APR",https://x.com/lista_dao/status/2016685778030436831,https://x.com/lista_dao/status/2014142690712043712,yield_farming,yield_farming,yield_farming,yield_farming,0.5698503852,0.8479607701,0.9986531734,0.9986531734,19955fb30eb0b2ba585a68e46b454888fdff019edf574f087edb568c226751bd,Lista DAO,discord,Quoted,@lista_dao,"{""filter_out"": 0.43014565110206604, ""high_value"": 3.967471911892062e-06, ""yield_farming"": 0.5698503851890564}","{""filter_out"": 0.15203098952770233, ""high_value"": 8.325638191308826e-06, ""yield_farming"": 0.8479607701301575}","{""filter_out"": 0.0013458591420203447, ""high_value"": 9.120256549977057e-07, ""yield_farming"": 0.9986531734466553}","{""filter_out"": 0.0013458591420203447, ""high_value"": 9.120256549977057e-07, ""yield_farming"": 0.9986531734466553}",,,,,,2026-02-10 17:43:25,2026-02-11 1:43:26
1,"This is actually a promotion for new users only, which you can kind of tell because there is no time limit or mention of a limited time or limited additional rewards pool, but in general I think messages like this typically work so I don't want to train the system against this type of message necessarily. We might just need to exclude MEXC specifically if they keep posting their new user only offers like this.",351,,2026-01-29T04:30:18.287000+00:00,"First in the market Earn up to 300% APR with $USAT usat , a USD backed stablecoin powered by Tether tether Start earning now Posted",https://x.com/MEXC_Official/status/2016730522878083075,,yield_farming,yield_farming,yield_farming,yield_farming,0.9999625683,0.999340117,0.9987310767,0.9987310767,58f6f13b98698cc42baa46f5ba6a9fd9c1dd6c030d46278db3e4492cb27d8df6,MEXC,discord,Posted,,"{""filter_out"": 3.741657201317139e-05, ""high_value"": 1.2501061297243155e-09, ""yield_farming"": 0.999962568283081}","{""filter_out"": 0.0006166030070744455, ""high_value"": 4.329232615418732e-05, ""yield_farming"": 0.9993401169776917}","{""filter_out"": 0.0011512640630826354, ""high_value"": 0.00011760902998503298, ""yield_farming"": 0.9987310767173767}","{""filter_out"": 0.0011512640630826354, ""high_value"": 0.00011760902998503298, ""yield_farming"": 0.9987310767173767}",,,,,,2026-02-10 17:43:25,2026-02-11 1:43:26
