keep,Explanation,id,message_id,timestamp,text,social_media_url,social_media_secondary_url,mc_predicted_category,oc_predicted_category,pc_predicted_category,predicted_category,mc_confidence,oc_confidence,pc_confidence,confidence,text_hash,author,source,social_media_tag,social_media_user,mc_probabilities,oc_probabilities,pc_probabilities,probabilities,oracle_score,oracle_result,summary,distributed_at,telegram_message_id,processed_at,created_at,agreement_pattern,majority_category,dissenting_model
B,"Although this says ""still live"" and isn't our favorite since this wouldn't be the origin of the announcement of this staking or yield event itself, this is a specific staking event for a decent APR that varies (hence the ""currently offering"" verbiage), and thus is a good addition to the yield farming category.",544,1471495090030514249,2026-02-12T13:16:08.520000+00:00,"Still live the noon capital tBTC Vault on Starknet via vesuxyz is currently offering 12.28% APR. The Noon tBTC Yield Vault deploys into sUSN through direct minting and staking then a portion of it is leverage looped on top tier lending protocols, managed by Tyche. Posted",https://x.com/TheTNetwork/status/2021936288165921240,,high_value,filter_out,yield_farming,yield_farming,0.544721961,0.9822101593,0.999984622,0.999984622,8e9146c40183b11cab109a1548399c0205d7070f209c70942c27f1a2b57b6e4b,Threshold Network ✜,discord,Posted,,"{""filter_out"": 0.21176017820835114, ""high_value"": 0.5447219610214233, ""yield_farming"": 0.24351784586906433}","{""filter_out"": 0.9822101593017578, ""high_value"": 0.011300507001578808, ""yield_farming"": 0.006489369086921215}","{""filter_out"": 9.811476957111154e-06, ""high_value"": 5.5594682635273784e-06, ""yield_farming"": 0.999984622001648}","{""filter_out"": 9.811476957111154e-06, ""high_value"": 5.5594682635273784e-06, ""yield_farming"": 0.999984622001648}",,,"Noon tBTC Vault on Starknet via vesuxyz offers 12.28% APR. Managed by Tyche, it leverages sUSN minting and staking",2026-02-12 5:16:27,,2026-02-12 5:16:27,2026-02-12 13:16:27,all_different,,
B,"This is a staking event with additional incentives (the $10,000 USDC) meaning early users will benefit from participating, and thus it's a great addition to the yield farming category.",543,1471494590610673793,2026-02-12T13:14:09.449000+00:00,"The OnRe Market continues to scale on Kamino, crossing $50M in market size. Up to 60% LTV on ONyc Backed by reinsurance premiums & collateralized treasuries $10,000 USDC in incentives ONyc can be supplied as collateral to borrow, and multiply USDC and USDG with up to 2.5x leverage. Posted",https://x.com/kamino/status/2021935821897838692,,filter_out,yield_farming,yield_farming,yield_farming,0.9998750687,0.5586185455,0.9199379683,0.9199379683,8d175bd849527fa6da51c2a4fc12565c9a382864c6ce81585130d912dc9ca101,Kamino,discord,Posted,,"{""filter_out"": 0.9998750686645508, ""high_value"": 8.446508581982926e-05, ""yield_farming"": 4.046989852213301e-05}","{""filter_out"": 0.44107818603515625, ""high_value"": 0.0003032812965102494, ""yield_farming"": 0.5586185455322266}","{""filter_out"": 0.08006203174591064, ""high_value"": 1.8325950534858748e-08, ""yield_farming"": 0.9199379682540894}","{""filter_out"": 0.08006203174591064, ""high_value"": 1.8325950534858748e-08, ""yield_farming"": 0.9199379682540894}",,,"OnRe Market scales $50M on Kamino, offers up to 60% LTV, $10,000 USDC incentives, and leverage options.",2026-02-12 5:14:25,,2026-02-12 5:14:25,2026-02-12 13:14:25,oc+pc_agree_mc_disagrees,yield_farming,mc
Y,"This is an extension of the project's standard, ongoing staking program. Not a new, limited time, yield opportunity with outsized rewards based upon a bonus pool or when you enter (such as a super high APR that goes down the more funds that get added).",540,1471484986551963699,2026-02-12T12:35:59.663000+00:00,"Staking is here to stay The VeraWallet Staking Program is now extended through March 31, 2027. The annual rate remains 15% effective April 01, 2026 . Not staking $VRA yet Get started in minutes",https://x.com/verasitytech/status/2021926249027793124,https://x.com/verasitytech/status/2021926155884822539,filter_out,filter_out,yield_farming,yield_farming,0.982388556,0.9730433822,0.9997289777,0.9997289777,8207bafbb6abe6b9b4c010b57a264863367d2d9e61ad0f0c5b1802759bb44149,Verasity | PLRL,discord,Quoted,@verasitytech,"{""filter_out"": 0.9823885560035706, ""high_value"": 8.784209967416245e-06, ""yield_farming"": 0.017602642998099327}","{""filter_out"": 0.9730433821678162, ""high_value"": 7.493825251003727e-05, ""yield_farming"": 0.026881670579314232}","{""filter_out"": 0.00022434322454500943, ""high_value"": 4.671321585192345e-05, ""yield_farming"": 0.9997289776802063}","{""filter_out"": 0.00022434322454500943, ""high_value"": 4.671321585192345e-05, ""yield_farming"": 0.9997289776802063}",,,"VeraWallet staking program extended through March 31, 2027, maintaining 15% annual rate from April 1, 2026.",2026-02-12 4:36:17,,2026-02-12 4:36:17,2026-02-12 12:36:17,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"While it does mention the incentivized campaign (which is something we are highly targetting), this post isn't announcing it, it's merely mentioning the campaign that was already announced elsewhere; hence that part of this message shouldn't count here in terms of determining if this is a good yield farming post. The rest of the message is about the addition of SolvBTC to the product suite of Binance Loans, and is not a yield farming opportunity. The post introducing the $2M incentivized campaign definitely would be, but this is something else entirely that just brings up a previously mentioned incentivized campaign instead.",539,1471478264810704927,2026-02-12T12:09:17.075000+00:00,Want to earn yield on your BTC holdings SolvBTC can now be used as collateral for the new Binance Loans powered by VenusProtocol. Borrow an array of assets or participate in the $2M incentivized campaign from UTechStables using SolvBTC for a more flexible Programmable Yield strategy.,https://x.com/SolvProtocol/status/2021919498950095300,https://x.com/BinanceWallet/status/2021918851710300501,filter_out,filter_out,yield_farming,yield_farming,0.9973154664,0.9797658324,0.9732764959,0.9732764959,894e69c81365116b8c85902ac7c3ce5deb1fabf30ee3a4d70d69ee9f3f7a0c12,Solv Protocol,discord,Quoted,@BinanceWallet,"{""filter_out"": 0.9973154664039612, ""high_value"": 0.0001922219671541825, ""yield_farming"": 0.002492313738912344}","{""filter_out"": 0.9797658324241638, ""high_value"": 3.0050461646169424e-05, ""yield_farming"": 0.020204173400998116}","{""filter_out"": 0.026717375963926315, ""high_value"": 6.156419203762198e-06, ""yield_farming"": 0.9732764959335327}","{""filter_out"": 0.026717375963926315, ""high_value"": 6.156419203762198e-06, ""yield_farming"": 0.9732764959335327}",,,SolvBTC is now accepted as collateral for Binance Loans by VenusProtocol and supports a $2M UTechStables campaign.,2026-02-12 4:09:32,,2026-02-12 4:09:32,2026-02-12 12:09:31,mc+oc_agree_pc_disagrees,filter_out,pc
1,Limited time promotion with a high APR and a specific start date makes this a good yield farming opportunity.,534,1471447199878615155,2026-02-12T10:05:50.618000+00:00,"official 9bit 9BIT Fixed Promotion, Enjoy an APR of 150% Activity Start 10 00 00 on February 12, 2026 UTC Details Reposted KuCoin Earn",https://x.com/kucoincom/status/2021888439726354921,https://x.com/KuCoin_Earn/status/2021888348554703087,yield_farming,filter_out,yield_farming,yield_farming,0.9923336506,0.975099802,0.861359179,0.861359179,e7cdf386db3334ffa95cbf42509935f6db2dae4c79dc1de4d9a3bb2dd99c6027,KuCoin,discord,Reposted,@KuCoin_Earn,"{""filter_out"": 0.0076661561615765095, ""high_value"": 2.0630874075777683e-07, ""yield_farming"": 0.9923336505889893}","{""filter_out"": 0.9750998020172119, ""high_value"": 7.670882769161835e-05, ""yield_farming"": 0.024823542684316635}","{""filter_out"": 0.13863879442214966, ""high_value"": 2.0690376913989894e-06, ""yield_farming"": 0.861359179019928}","{""filter_out"": 0.13863879442214966, ""high_value"": 2.0690376913989894e-06, ""yield_farming"": 0.861359179019928}",,,"9BIT fixed promotion offers 150% APR starting 10:00 UTC February 12, 2026, reposted on KuCoin Earn",2026-02-12 2:06:08,,2026-02-12 2:06:08,2026-02-12 10:06:07,mc+pc_agree_oc_disagrees,yield_farming,oc
0,"This is a general advertisement for the APR being offered on the platform, and is not a specific time sensitive yield farming opportunity for users. This is an ongoing opportunity and there is no bonus for participating early, as there is no additional incentives or higher APR or APY when there are less funds in the platform.",532,1471445777749381154,2026-02-12T10:00:11.556000+00:00,Grow your gold with up to 11% APY. No lockups. Withdraw anytime. Posted,https://x.com/Bybit_Official/status/2021887001323008115,,filter_out,filter_out,yield_farming,yield_farming,0.9975833893,0.9998785257,0.9789638519,0.9789638519,e40406cd75bc30574bf41d7743b4d6f22bd06bbd5e87114d844832a002212f96,Bybit,discord,Posted,,"{""filter_out"": 0.9975833892822266, ""high_value"": 2.3073953414609605e-08, ""yield_farming"": 0.002416526433080435}","{""filter_out"": 0.9998785257339478, ""high_value"": 5.354964915937899e-09, ""yield_farming"": 0.0001214759613503702}","{""filter_out"": 0.021034840494394302, ""high_value"": 1.333928480562463e-06, ""yield_farming"": 0.9789638519287109}","{""filter_out"": 0.021034840494394302, ""high_value"": 1.333928480562463e-06, ""yield_farming"": 0.9789638519287109}",,,"Grow your gold with up to 11% APY, no lockups, withdraw anytime freely.",2026-02-12 2:00:43,,2026-02-12 2:00:43,2026-02-12 10:00:43,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"This is a new product launch that, while it allows people to stake assets, there is no outsized gains for participating early, and there is no time limitation or time sensitivity to the campaign, so there is no real bonus for yield farmers here to take advantage of.",525,1471401450226716795,2026-02-12T07:04:03.051000+00:00,"Unifi Open Our branded new Unifi is now open Visit Unifi and earn interest right now W hat is new in Unifi Receive daily payouts with an unconditional 4% base interest. Flexible asset protection with anytime withdrawals. Deposit USDT as you like. Start small today Play in Apps and Earn USDT rewards and extra interest Earn more with Unifi, A stablecoin wallet designed for earning unifi LINENEXT Reposted unifi x",https://x.com/KaiaChain/status/2021842660852740512,https://x.com/unifi_x/status/2021841856284565790,filter_out,filter_out,yield_farming,yield_farming,0.55314821,0.9893885255,0.9993750453,0.9993750453,0ca88d580544fc2b6c3124fa2b633f30d2414292c0edf2f80f675e2d8fe0c40e,Kaia,discord,Reposted,@unifi_x,"{""filter_out"": 0.5531482100486755, ""high_value"": 0.00012850327766500413, ""yield_farming"": 0.44672322273254395}","{""filter_out"": 0.9893885254859924, ""high_value"": 1.6192415159821394e-06, ""yield_farming"": 0.010609801858663559}","{""filter_out"": 0.0006245485856197774, ""high_value"": 4.5665046854992397e-07, ""yield_farming"": 0.99937504529953}","{""filter_out"": 0.0006245485856197774, ""high_value"": 4.5665046854992397e-07, ""yield_farming"": 0.99937504529953}",,,"Unifi Open offers 4% daily interest, flexible asset protection, anytime withdrawals, and USDT deposit rewards.",2026-02-11 23:04:20,,2026-02-11 23:04:20,2026-02-12 7:04:19,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"This is an advertisement for their validator, as you can see there is no specific APR or APY mention, or if it's a limited time, etc. This doesn't provide an outsized opportunity for a user to utilize their assets to increase their holdings by being first to the opportunity.",514,1471251679927341067,2026-02-11T21:08:55.029000+00:00,"Our $USDG recipe is going under the radar... Yet, it's currently outperforming the Solana Staking index giving one of the highest yields on the market... We achieve this by giving you 100% of staking rewards. It's like if you ran your own validator but without all the hassle. Posted",https://x.com/MarinadeFinance/status/2021692942444823022,,filter_out,filter_out,yield_farming,yield_farming,0.9138985276,0.9985333681,0.9305792451,0.9305792451,feb72def7ffb9a62d023c0d5d8d2d35d6ba0aef20c988d4b40ce69aa74e471c1,Marinade 🛡,discord,Posted,,"{""filter_out"": 0.9138985276222229, ""high_value"": 0.00019346379849594086, ""yield_farming"": 0.08590798079967499}","{""filter_out"": 0.9985333681106567, ""high_value"": 1.1034097951778676e-05, ""yield_farming"": 0.001455538789741695}","{""filter_out"": 0.06941726058721542, ""high_value"": 3.4628633329703007e-06, ""yield_farming"": 0.9305792450904846}","{""filter_out"": 0.06941726058721542, ""high_value"": 3.4628633329703007e-06, ""yield_farming"": 0.9305792450904846}",,,$USDG recipe yields outperform Solana Staking index by giving 100% staking rewards without hassle.,2026-02-11 13:09:10,,2026-02-11 13:09:10,2026-02-11 21:09:10,mc+oc_agree_pc_disagrees,filter_out,pc
0,This is a product announcement and does not include a specific staking opportunity or event.,510,1471185622369702071,2026-02-11T16:46:25.680000+00:00,"Tokenized equities just became usable DeFi collateral on Euler. Tokenized stocks supply Stablecoins borrow Exposure kept Supply tokenized stocks on Euler and use them as collateral to borrow liquidity without selling. Built with OndoFinance, SentoraHQ, and Chainlink. Posted",https://x.com/eulerfinance/status/2021626848518512926,,filter_out,filter_out,yield_farming,yield_farming,0.9893097878,0.9999426603,0.9913247824,0.9913247824,056bc16b772b21b740564d2690d369a8ae69cbde86fed081071eb8c8671a0b70,Euler Labs,discord,Posted,,"{""filter_out"": 0.9893097877502441, ""high_value"": 0.010688524693250656, ""yield_farming"": 1.651023126214568e-06}","{""filter_out"": 0.9999426603317261, ""high_value"": 5.44719077879563e-05, ""yield_farming"": 2.892888460337417e-06}","{""filter_out"": 0.007270356174558401, ""high_value"": 0.0014048562152311206, ""yield_farming"": 0.991324782371521}","{""filter_out"": 0.007270356174558401, ""high_value"": 0.0014048562152311206, ""yield_farming"": 0.991324782371521}",,,"Euler allows tokenized equities as collateral to borrow stablecoins without selling, built with OndoFinance, SentoraHQ, and Chainlink.",2026-02-11 8:46:43,,2026-02-11 8:46:43,2026-02-11 16:46:42,mc+oc_agree_pc_disagrees,filter_out,pc
,"This is cool because while this isn't a stereotypical ""deposit funds and earn higher APR yield"", this allows you to deposit funds and borrow at a negative yield, which essentially means you earn on your deposited funds and then can use the new collateral your borrowed to earn even more. Definitely an interesting yield farming post.  ",508,1471169264789618872,2026-02-11T15:41:25.729000+00:00,Free borrowing for USD1 and $U with USDT USDC on Lista Smart Lending. Your collaterals are covering the borrowing rates USDT&USDC USD1 Net borrow rate 0.09% USDT&USDC U Net borrow rate 0.56% Posted,https://x.com/lista_dao/status/2021610516158763136,,filter_out,yield_farming,yield_farming,yield_farming,0.999971509,0.9686993361,0.9866753221,0.9866753221,59b93b8d6dca70e59e3f963ef32add9da2ef25d10868e68c011f6acf09355ef9,Lista DAO,discord,Posted,,"{""filter_out"": 0.9999715089797974, ""high_value"": 1.0025944447988877e-06, ""yield_farming"": 2.751752435870003e-05}","{""filter_out"": 0.031227126717567444, ""high_value"": 7.354766421485692e-05, ""yield_farming"": 0.9686993360519409}","{""filter_out"": 0.013323635794222355, ""high_value"": 1.033676653605653e-06, ""yield_farming"": 0.9866753220558167}","{""filter_out"": 0.013323635794222355, ""high_value"": 1.033676653605653e-06, ""yield_farming"": 0.9866753220558167}",,,"Lista Smart Lending offers free borrowing for USD1 and $U with USDT, USDC collaterals covering borrow rates.",2026-02-11 7:41:41,,2026-02-11 7:41:40,2026-02-11 15:41:40,oc+pc_agree_mc_disagrees,yield_farming,mc
B,"Great, limited time campaign with an outsized APR or APY boost, so this is exactly one of the types of posts that we are looking for for yield farmers.",502,1471142084701458667,2026-02-11T13:53:25.491000+00:00,"Let your FLOKI do the work Together with FLOKI, BLOX introduces a temporary APY boost from 3,2% to 20% Move your FLOKI to the BLOX Earn account or buy FLOKI and earn a higher APY for a limited time. Let your FLOKI work for you, while the market takes its time. This is a limited time campaign by FLOKI and BLOX. Please note investing in crypto involves risks, and you may lose your investment. The Earn program is currently not supervised by the AFM. Claim the 20% APY in the BLOX app Reposted wearebloxnl",https://x.com/FLOKI/status/2021583324171411829,https://x.com/wearebloxnl/status/2021567942945620230,filter_out,yield_farming,yield_farming,yield_farming,0.9567677975,0.9202840328,0.8153609633,0.8153609633,7144d26c2b0acf065d62d7ada309ef089da03980e106b9603e8c4def951e09a3,FLOKI,discord,Reposted,@wearebloxnl,"{""filter_out"": 0.9567677974700928, ""high_value"": 0.00030276700272224844, ""yield_farming"": 0.04292948916554451}","{""filter_out"": 0.07955452054738998, ""high_value"": 0.00016146618872880936, ""yield_farming"": 0.9202840328216553}","{""filter_out"": 0.1846388280391693, ""high_value"": 2.352486632162254e-07, ""yield_farming"": 0.815360963344574}","{""filter_out"": 0.1846388280391693, ""high_value"": 2.352486632162254e-07, ""yield_farming"": 0.815360963344574}",,,FLOKI and BLOX introduce limited 20% APY boost from 3.2% by moving or buying FLOKI in BLOX Earn.,2026-02-11 5:53:43,,2026-02-11 5:53:43,2026-02-11 13:53:42,oc+pc_agree_mc_disagrees,yield_farming,mc
Y,"Since it's an ""ICYMI"" which stands for ""In case you missed it"", this isn't the first of the announcements about this campaign, meaning if there were outsized rewards, they might already be gone. So unless the rest of the message communicates there is still clear earning potential (say 10% in APR or more), then we have probably missed our time sensitive windwo. Also, the rewards here are fee waivers, which is not increasing the user's direct asset count since the yield is just a waiver on fees paid to the platform. Not what we are looking for unfortunately.",500,1471114528904450089,2026-02-11T12:03:55.677000+00:00,ICYMI You can now stake $T tokens to receive tBTC redemption fee waivers. tBTC fee waivers are proportional to your staked amount. More utility for Bitcoin. Less friction. Start staking Reposted tBTC project,https://x.com/TheTNetwork/status/2021555737411891338,https://x.com/tBTC_project/status/2021269223587406049,filter_out,filter_out,yield_farming,yield_farming,0.9954611659,0.9846971035,0.9974905252,0.9974905252,f2dd2d579a7a9fed871214d7c2878e7a8edaa122b42762fe93a639ffa7fd622f,Threshold Network ✜,discord,Reposted,@tBTC_project,"{""filter_out"": 0.9954611659049988, ""high_value"": 0.00024400882830377668, ""yield_farming"": 0.004294779151678085}","{""filter_out"": 0.9846971035003662, ""high_value"": 6.124405626906082e-05, ""yield_farming"": 0.015241661109030247}","{""filter_out"": 0.002509036101400852, ""high_value"": 5.24941640378529e-07, ""yield_farming"": 0.9974905252456665}","{""filter_out"": 0.002509036101400852, ""high_value"": 5.24941640378529e-07, ""yield_farming"": 0.9974905252456665}",,,You can stake $T tokens to get tBTC redemption fee waivers proportional to staked amount,2026-02-11 4:04:13,,2026-02-11 4:04:13,2026-02-11 12:04:13,mc+oc_agree_pc_disagrees,filter_out,pc
1,"Good, limited time promotion with a high APR. A great type of yield farming opportunity for users to potentially participate in.",495,1471085600080793771,2026-02-11T10:08:58.508000+00:00,"rainbowdotme $RNBW Fixed Promotion, Enjoy an APR of 200% Activity Start 10 00 00 on February 11, 2026 UTC Details Reposted KuCoin Earn",https://x.com/kucoincom/status/2021526828348006672,https://x.com/KuCoin_Earn/status/2021526658596094292,yield_farming,filter_out,yield_farming,yield_farming,0.993514061,0.7051938176,0.9338033795,0.9338033795,43ae9e004c313e49af8fc3aaf989c9aef248241efc4b900605922ae0b520eab2,KuCoin,discord,Reposted,@KuCoin_Earn,"{""filter_out"": 0.006485655438154936, ""high_value"": 2.4562481826251314e-07, ""yield_farming"": 0.9935140609741211}","{""filter_out"": 0.705193817615509, ""high_value"": 6.102940005803248e-06, ""yield_farming"": 0.2948001027107239}","{""filter_out"": 0.06619250029325485, ""high_value"": 4.072652245667996e-06, ""yield_farming"": 0.933803379535675}","{""filter_out"": 0.06619250029325485, ""high_value"": 4.072652245667996e-06, ""yield_farming"": 0.933803379535675}",,,"rainbowdotme $RNBW fixed promotion offers 200% APR starting 10:00:00 UTC on February 11, 2026",2026-02-11 2:09:18,,2026-02-11 2:09:18,2026-02-11 10:09:17,mc+pc_agree_oc_disagrees,yield_farming,oc
1,The subquoted tweet has a very high APR earning opportunity alongside added incentives and is good addition to the yield farming category.,491,1471047874249752657,2026-02-11T07:39:03.969000+00:00,The river is flowing with APR Add liquidity to RIVER USDT on PancakeSwap and start earning. Jump in,https://x.com/PancakeSwap/status/2021489110834348153,https://x.com/RiverdotInc/status/2021476220052046092,yield_farming,filter_out,yield_farming,yield_farming,0.9844172001,0.8363749981,0.8772516847,0.8772516847,4620047e7e6ece06aac02e694805953e6d3e5d6bb58b896e9a33839dfe14064c,PancakeSwap,discord,Quoted,@RiverdotInc,"{""filter_out"": 0.015582078136503696, ""high_value"": 7.476269274775404e-07, ""yield_farming"": 0.984417200088501}","{""filter_out"": 0.8363749980926514, ""high_value"": 1.1472878895801841e-06, ""yield_farming"": 0.16362380981445312}","{""filter_out"": 0.00942347664386034, ""high_value"": 0.1133248507976532, ""yield_farming"": 0.8772516846656799}","{""filter_out"": 0.00942347664386034, ""high_value"": 0.1133248507976532, ""yield_farming"": 0.8772516846656799}",,,Add liquidity to the RIVER USDT pair on PancakeSwap to start earning APR rewards immediately.,2026-02-10 23:39:20,,2026-02-10 23:39:20,2026-02-11 7:39:19,mc+pc_agree_oc_disagrees,yield_farming,oc
0,"This is an advertisement for margin lending, and there is no yield farming opportunity present in this language. There is no time sensitivie, no incentives, and no ability to utilize your own capital to earn more via any type of yield farming initiative. Definitely not a yield farming post.",489,1471024475117195316,2026-02-11T06:06:05.181000+00:00,"Announcing Spark Prime CeDeFi Margin Lending Powered by ArkisXYZ's margin technology, Spark Prime enables institutional borrowers to deploy collateral seamlessly across DeFi and CeFi venues. Spark Prime provides More resilient delta neutral lending supported by over collateralized positions. Enhanced capital efficiency relative to traditional DeFi lending markets. A more transparent DeFi. Opaque funds lead to hidden risks, but with Spark Prime, positions are visible in real time through protocol level data and transparency mechanisms. Posted",https://x.com/sparkdotfi/status/2021465732333326515,,filter_out,filter_out,yield_farming,yield_farming,0.9988304973,0.9385732412,0.7812830806,0.7812830806,295e29fab1e95bba840e181c551994f4062ebc81885a39edd840ff4c1355e1e9,Spark,discord,Posted,,"{""filter_out"": 0.9988304972648621, ""high_value"": 0.0011674269335344434, ""yield_farming"": 2.0977383883291623e-06}","{""filter_out"": 0.9385732412338257, ""high_value"": 0.06135432422161102, ""yield_farming"": 7.248692418215796e-05}","{""filter_out"": 0.14059196412563324, ""high_value"": 0.07812493294477463, ""yield_farming"": 0.7812830805778503}","{""filter_out"": 0.14059196412563324, ""high_value"": 0.07812493294477463, ""yield_farming"": 0.7812830805778503}",,,"Spark Prime launches CeDeFi margin lending powered by ArkisXYZ, offering transparent, efficient, and resilient institutional collateral deployment.",2026-02-10 22:06:21,,2026-02-10 22:06:21,2026-02-11 6:06:20,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"There is no yield farming here. This is a product release that has minimized or reduced fees on the platform that is making the post, but there is no time sensitive earning opportunity presented in this language.",484,1470976145053978806,2026-02-11T02:54:02.396000+00:00,"Zero Fee Month is LIVE. During this period, 0% Flashloan fees apply to All assets on NAVI. This supports liquidations, Optimize 1 click position management , and collateral based debt repayment. SDK docs are now live",https://x.com/navi_protocol/status/2021417328756523348,https://x.com/navi_protocol/status/2021116010036854871,filter_out,high_value,yield_farming,yield_farming,0.4290270507,0.8263438344,0.9990436435,0.9990436435,465eba5c8223251e149756207c7da24db20439176a371512447dba76e2e38da9,NAVI Protocol,discord,Quoted,@navi_protocol,"{""filter_out"": 0.4290270507335663, ""high_value"": 0.2661722004413605, ""yield_farming"": 0.304800808429718}","{""filter_out"": 0.02520456165075302, ""high_value"": 0.826343834400177, ""yield_farming"": 0.14845167100429535}","{""filter_out"": 0.0002610754163470119, ""high_value"": 0.0006952795083634555, ""yield_farming"": 0.9990436434745789}","{""filter_out"": 0.0002610754163470119, ""high_value"": 0.0006952795083634555, ""yield_farming"": 0.9990436434745789}",,,"Zero Fee Month live with 0% Flashloan fees on all NAVI assets, supporting liquidations and position management",2026-02-10 18:54:19,,2026-02-10 18:54:19,2026-02-11 2:54:19,all_different,,
0,"This is a simple advertisement. There is no specific earning ability presented in this language. There is no time sensitivity. There is no special event, new pool, or new opportunity being communicated.",481,,2026-02-01T17:26:51.602000+00:00,Markets are trading up and down. Earn fees & rewards with Kamino Liquidity vaults. Posted,https://x.com/kamino/status/2018013098691461501,,filter_out,filter_out,yield_farming,yield_farming,0.9991876483,0.999987483,0.9999160767,0.9999160767,65812c2d42a1b5dd5e88097b4a611892e9d839bdf6787048ce2e5a1c1e8d26d5,Kamino,discord,Posted,,"{""filter_out"": 0.9991876482963562, ""high_value"": 1.993113301068661e-06, ""yield_farming"": 0.0008103857398964465}","{""filter_out"": 0.9999874830245972, ""high_value"": 1.3709419590668404e-06, ""yield_farming"": 1.1125592209282331e-05}","{""filter_out"": 4.165782229392789e-05, ""high_value"": 4.23138371843379e-05, ""yield_farming"": 0.9999160766601562}","{""filter_out"": 4.165782229392789e-05, ""high_value"": 4.23138371843379e-05, ""yield_farming"": 0.9999160766601562}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14,mc+oc_agree_pc_disagrees,filter_out,pc
0,"This is a product advertisement. There is no specific earning ability presented in this language. There is no time sensitivity. There is no special event, new pool, or new opportunity being communicated.",474,,2026-02-01T08:59:06.054000+00:00,"With the launch of Lido V3, we are ushering in a new era of customizable, institutional grade Ethereum staking. stVaults are a new staking primitive designed for segmented, operator specific, non custodial ETH staking. Here s why Ebunker x stVaults is a game changer for the ecosystem. Reposted ebunker eth",https://x.com/LidoFinance/status/2017885331131863372,https://x.com/ebunker_eth/status/2017360717197021226,high_value,filter_out,yield_farming,yield_farming,0.7023240924,0.9952749014,0.9981681108,0.9981681108,6eaebff94fc786f6b1d0415432b768d067387810167320068fa7861524d112d4,Lido,discord,Reposted,@ebunker_eth,"{""filter_out"": 0.2973827123641968, ""high_value"": 0.7023240923881531, ""yield_farming"": 0.00029321329202502966}","{""filter_out"": 0.9952749013900757, ""high_value"": 0.004718337208032608, ""yield_farming"": 6.716211373714032e-06}","{""filter_out"": 0.0006354300421662629, ""high_value"": 0.0011964504374191165, ""yield_farming"": 0.9981681108474731}","{""filter_out"": 0.0006354300421662629, ""high_value"": 0.0011964504374191165, ""yield_farming"": 0.9981681108474731}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14,all_different,,
0,"This is a product advertisement. There is no specific earning ability presented in this language. There is no time sensitivity. There is no special event, new pool, or new opportunity being communicated.",461,,2026-01-31T05:57:46.246000+00:00,"The deposit pool continues to fill There's now more than $30m worth of ETH ready to be allocated to MEGAPOOL validators when the Saturn upgrade launches next month Stake your ETH with Rocket Pool, Ethereum's decentralised liquid staking protocol Posted",https://x.com/Rocket_Pool/status/2017477286573085111,,filter_out,filter_out,yield_farming,yield_farming,0.9992710948,0.9999094009,0.5155743957,0.5155743957,71b77eb92df3e51f430298ee3fea9d5f6ac50f059ce3f7c8b9dce6a35a24ea36,Rocket Pool,discord,Posted,,"{""filter_out"": 0.9992710947990417, ""high_value"": 3.022082819370553e-05, ""yield_farming"": 0.0006986545049585402}","{""filter_out"": 0.9999094009399414, ""high_value"": 2.6162842914345674e-07, ""yield_farming"": 9.028035856317729e-05}","{""filter_out"": 0.48433732986450195, ""high_value"": 8.833724859869108e-05, ""yield_farming"": 0.5155743956565857}","{""filter_out"": 0.48433732986450195, ""high_value"": 8.833724859869108e-05, ""yield_farming"": 0.5155743956565857}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14,mc+oc_agree_pc_disagrees,filter_out,pc
0,"This is a platform advertisement. There is no specific earning ability presented in this language. There is no time sensitivity. There is no special event, new pool, or new opportunity being communicated.",460,,2026-01-31T05:32:54.677000+00:00,"Jupiter Lend rewrote the rules. With our tick based liquidity system, we re able to clear risky positions so efficiently that we can empower borrowers with better terms. Higher LTVs, higher LTs, and liquidations that only restore you back to health, and no further. The system is so efficient that it has incurred 0 bad debt in its entire history. Fast forward to 6 months after release, and Lend 1.5 is pushing the boundaries even further. Native Stake as collateral to unlock the billions of dollars of Solana natively staked Custodied collateral to bring more assets onchain The $JUICED Loop deposit $JupUSD, receive $JUICED, and loop against other stables for amplified yield Better for borrowers. Simpler for lenders. Built for everyone. Just use Jupiter Lend . Posted",https://x.com/JupiterExchange/status/2017471112355958876,,filter_out,filter_out,yield_farming,yield_farming,0.9160968065,0.9994832277,0.9895099401,0.9895099401,3e4edcdb3235706ecdeaf3d7f806358bd1fe0bc063cb14960186cc207cc7c125,Jupiter,discord,Posted,,"{""filter_out"": 0.9160968065261841, ""high_value"": 1.3931149624113459e-05, ""yield_farming"": 0.08388921618461609}","{""filter_out"": 0.9994832277297974, ""high_value"": 9.511424650554545e-06, ""yield_farming"": 0.0005072764470241964}","{""filter_out"": 0.010489081032574177, ""high_value"": 9.323612744083221e-07, ""yield_farming"": 0.9895099401473999}","{""filter_out"": 0.010489081032574177, ""high_value"": 9.323612744083221e-07, ""yield_farming"": 0.9895099401473999}",,,,,,2026-02-10 17:45:14,2026-02-11 1:45:14,mc+oc_agree_pc_disagrees,filter_out,pc
